model,system,seed,step,metric,param_count,value
HNN-FP32,harmonic,42,1,energy_drift,337,5.238222e-4
HNN-FP32,harmonic,42,10,energy_drift,337,5.236564e-3
HNN-FP32,harmonic,42,100,energy_drift,337,5.213819e-2
HNN-FP32,harmonic,42,1000,energy_drift,337,6.030364e-1
HNN-FP32,harmonic,42,1,trajectory_mse,337,1.290603e-4
HNN-FP32,harmonic,42,10,trajectory_mse,337,1.289294e-2
HNN-FP32,harmonic,42,100,trajectory_mse,337,1.186850e0
HNN-FP32,harmonic,42,1000,trajectory_mse,337,5.157423e0
HNN-FP32,harmonic,42,0,inference_us,337,1.97
HNN-FP32,harmonic,42,0,memory_bytes,337,1348
HNN-Ternary,harmonic,42,1,energy_drift,337,1.574671e-2
HNN-Ternary,harmonic,42,10,energy_drift,337,1.584066e-1
HNN-Ternary,harmonic,42,100,energy_drift,337,9.707698e-1
HNN-Ternary,harmonic,42,1000,energy_drift,337,1.178802e0
HNN-Ternary,harmonic,42,1,trajectory_mse,337,2.189399e-4
HNN-Ternary,harmonic,42,10,trajectory_mse,337,2.205202e-2
HNN-Ternary,harmonic,42,100,trajectory_mse,337,9.867486e-1
HNN-Ternary,harmonic,42,1000,trajectory_mse,337,4.231462e0
HNN-Ternary,harmonic,42,0,inference_us,337,3.80
HNN-Ternary,harmonic,42,0,memory_bytes,337,208
HNN-Adaptive,harmonic,42,1,energy_drift,343,1.321897e-2
HNN-Adaptive,harmonic,42,10,energy_drift,343,1.343293e-1
HNN-Adaptive,harmonic,42,100,energy_drift,343,1.319327e0
HNN-Adaptive,harmonic,42,1000,energy_drift,343,3.282121e1
HNN-Adaptive,harmonic,42,1,trajectory_mse,343,1.188468e-4
HNN-Adaptive,harmonic,42,10,trajectory_mse,343,1.188380e-2
HNN-Adaptive,harmonic,42,100,trajectory_mse,343,1.138012e0
HNN-Adaptive,harmonic,42,1000,trajectory_mse,343,3.060184e1
HNN-Adaptive,harmonic,42,0,inference_us,343,8.55
HNN-Adaptive,harmonic,42,0,memory_bytes,343,232
MLP-FP32,harmonic,42,1000,energy_drift,354,1.374045e0
MLP-FP32,harmonic,42,0,inference_us,354,2.94
MLP-FP32,harmonic,42,0,memory_bytes,354,1416
HNN-FP32,harmonic,123,1,energy_drift,337,5.645067e-4
HNN-FP32,harmonic,123,10,energy_drift,337,5.641663e-3
HNN-FP32,harmonic,123,100,energy_drift,337,5.597532e-2
HNN-FP32,harmonic,123,1000,energy_drift,337,5.940304e-1
HNN-FP32,harmonic,123,1,trajectory_mse,337,1.316391e-4
HNN-FP32,harmonic,123,10,trajectory_mse,337,1.315019e-2
HNN-FP32,harmonic,123,100,trajectory_mse,337,1.208512e0
HNN-FP32,harmonic,123,1000,trajectory_mse,337,5.019233e0
HNN-FP32,harmonic,123,0,inference_us,337,2.87
HNN-FP32,harmonic,123,0,memory_bytes,337,1348
HNN-Ternary,harmonic,123,1,energy_drift,337,7.742049e-3
HNN-Ternary,harmonic,123,10,energy_drift,337,7.690509e-2
HNN-Ternary,harmonic,123,100,energy_drift,337,8.103493e-1
HNN-Ternary,harmonic,123,1000,energy_drift,337,1.088082e0
HNN-Ternary,harmonic,123,1,trajectory_mse,337,6.071136e-5
HNN-Ternary,harmonic,123,10,trajectory_mse,337,6.006514e-3
HNN-Ternary,harmonic,123,100,trajectory_mse,337,6.690785e-1
HNN-Ternary,harmonic,123,1000,trajectory_mse,337,4.118401e0
HNN-Ternary,harmonic,123,0,inference_us,337,2.46
HNN-Ternary,harmonic,123,0,memory_bytes,337,208
HNN-Adaptive,harmonic,123,1,energy_drift,343,4.380655e-3
HNN-Adaptive,harmonic,123,10,energy_drift,343,4.311715e-2
HNN-Adaptive,harmonic,123,100,energy_drift,343,4.381871e-1
HNN-Adaptive,harmonic,123,1000,energy_drift,343,1.985036e1
HNN-Adaptive,harmonic,123,1,trajectory_mse,343,1.389851e-4
HNN-Adaptive,harmonic,123,10,trajectory_mse,343,1.379154e-2
HNN-Adaptive,harmonic,123,100,trajectory_mse,343,1.258853e0
HNN-Adaptive,harmonic,123,1000,trajectory_mse,343,2.197561e1
HNN-Adaptive,harmonic,123,0,inference_us,343,3.40
HNN-Adaptive,harmonic,123,0,memory_bytes,343,232
MLP-FP32,harmonic,123,1000,energy_drift,354,1.038547e0
MLP-FP32,harmonic,123,0,inference_us,354,1.84
MLP-FP32,harmonic,123,0,memory_bytes,354,1416
HNN-FP32,harmonic,456,1,energy_drift,337,1.891625e-4
HNN-FP32,harmonic,456,10,energy_drift,337,1.890494e-3
HNN-FP32,harmonic,456,100,energy_drift,337,1.882655e-2
HNN-FP32,harmonic,456,1000,energy_drift,337,1.837032e-1
HNN-FP32,harmonic,456,1,trajectory_mse,337,1.335567e-4
HNN-FP32,harmonic,456,10,trajectory_mse,337,1.334390e-2
HNN-FP32,harmonic,456,100,trajectory_mse,337,1.226485e0
HNN-FP32,harmonic,456,1000,trajectory_mse,337,4.827218e0
HNN-FP32,harmonic,456,0,inference_us,337,1.87
HNN-FP32,harmonic,456,0,memory_bytes,337,1348
HNN-Ternary,harmonic,456,1,energy_drift,337,9.361851e-3
HNN-Ternary,harmonic,456,10,energy_drift,337,9.150875e-2
