model,system,seed,epoch,train_loss,val_loss
HNN-FP32,harmonic,42,0,2.672685e0,1.991391e0
HNN-FP32,harmonic,42,50,2.668199e0,1.988010e0
HNN-FP32,harmonic,42,100,2.664346e0,1.984680e0
HNN-FP32,harmonic,42,150,2.659511e0,1.980361e0
HNN-FP32,harmonic,42,199,2.654240e0,1.975444e0
HNN-Ternary,harmonic,42,0,8.595135e1,9.966902e1
HNN-Ternary,harmonic,42,50,8.595135e1,9.966902e1
HNN-Ternary,harmonic,42,100,8.595135e1,9.966902e1
HNN-Adaptive,harmonic,42,0,1.178043e2,1.347909e2
HNN-Adaptive,harmonic,42,50,6.367115e1,7.381477e1
HNN-Adaptive,harmonic,42,100,5.018294e0,4.668602e0
HNN-Adaptive,harmonic,42,150,2.712548e0,2.133434e0
HNN-Adaptive,harmonic,42,199,2.709218e0,2.043397e0
MLP-FP32,harmonic,42,0,2.673480e0,1.997646e0
MLP-FP32,harmonic,42,50,2.634871e0,1.968603e0
MLP-FP32,harmonic,42,100,2.598273e0,1.940984e0
MLP-FP32,harmonic,42,150,2.560961e0,1.912748e0
MLP-FP32,harmonic,42,199,2.523829e0,1.884612e0
HNN-FP32,harmonic,123,0,2.729382e0,2.030247e0
HNN-FP32,harmonic,123,50,2.724470e0,2.026542e0
HNN-FP32,harmonic,123,100,2.717064e0,2.021039e0
HNN-FP32,harmonic,123,150,2.711669e0,2.017147e0
HNN-FP32,harmonic,123,199,2.707012e0,2.013636e0
HNN-Ternary,harmonic,123,0,2.184357e1,1.932551e1
HNN-Ternary,harmonic,123,50,2.184357e1,1.932551e1
HNN-Ternary,harmonic,123,100,2.184357e1,1.932551e1
HNN-Adaptive,harmonic,123,0,7.991624e1,9.045437e1
HNN-Adaptive,harmonic,123,50,4.819719e1,5.565588e1
HNN-Adaptive,harmonic,123,100,2.970910e0,2.100139e0
HNN-Adaptive,harmonic,123,150,2.692986e0,2.082692e0
HNN-Adaptive,harmonic,123,199,2.712253e0,2.076989e0
MLP-FP32,harmonic,123,0,2.776632e0,2.075765e0
MLP-FP32,harmonic,123,50,2.717316e0,2.031564e0
MLP-FP32,harmonic,123,100,2.661935e0,1.990163e0
MLP-FP32,harmonic,123,150,2.606737e0,1.948948e0
MLP-FP32,harmonic,123,199,2.556053e0,1.911106e0
HNN-FP32,harmonic,456,0,2.736940e0,2.050040e0
HNN-FP32,harmonic,456,50,2.734432e0,2.048171e0
HNN-FP32,harmonic,456,100,2.731669e0,2.046038e0
HNN-FP32,harmonic,456,150,2.728544e0,2.043559e0
HNN-FP32,harmonic,456,199,2.725936e0,2.041474e0
HNN-Ternary,harmonic,456,0,4.967579e1,3.979898e1
HNN-Ternary,harmonic,456,50,4.967579e1,3.979898e1
HNN-Ternary,harmonic,456,100,4.967579e1,3.979898e1
HNN-Adaptive,harmonic,456,0,1.128574e1,1.072087e1
HNN-Adaptive,harmonic,456,50,8.899714e0,8.158260e0
HNN-Adaptive,harmonic,456,100,3.904679e0,3.757162e0
HNN-Adaptive,harmonic,456,150,2.916237e0,2.029680e0
HNN-Adaptive,harmonic,456,199,2.796679e0,2.110858e0
MLP-FP32,harmonic,456,0,2.767221e0,2.069844e0
MLP-FP32,harmonic,456,50,2.739950e0,2.049094e0
MLP-FP32,harmonic,456,100,2.713347e0,2.028774e0
MLP-FP32,harmonic,456,150,2.686369e0,2.008212e0
MLP-FP32,harmonic,456,199,2.660973e0,1.988632e0
HNN-FP32,pendulum,42,0,1.347697e0,1.043864e0
HNN-FP32,pendulum,42,50,1.345537e0,1.042089e0
HNN-FP32,pendulum,42,100,1.343786e0,1.040454e0
HNN-FP32,pendulum,42,150,1.341108e0,1.038010e0
HNN-FP32,pendulum,42,199,1.337688e0,1.035110e0
